U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE
1699272705108647700,9494.9607318,12:11:45:108648,H
1699272715109191200,9504.9610704,12:11:55:109191,H
1699272722983436000,9512.8350952,12:12:02:983436,test
1699272725722837700,9515.574513,12:12:05:722838,H
1699272736378627500,9526.2303026,12:12:16:378628,H
1699272747040442700,9536.8924186,12:12:27:040443,H
1699272757694589000,9547.5466222,12:12:37:694589,H
1699272768354738200,9558.2069384,12:12:48:354738,H
1699272779011408300,9568.8627214,12:12:59:011408,H
1699272789668765800,9579.520246,12:13:09:668766,H
1699272800328393000,9590.1799413,12:13:20:328393,H
1699272810983418400,9600.8353599,12:13:30:983418,H
1699272821644428400,9611.4963162,12:13:41:644428,H
1699272832299173800,9622.1507945,12:13:52:299174,H
